Timestamp,IP Address,Username,Login Status,Country,Event Type,Device,Severity,Recent_Failures,Hour,Is_Unusual_Time,Is_Brute_Force,Is_Port_Scan_Attack,Threat_Description,Is_Anomaly
2026-05-19 00:04:22,177.85.242.254,user1,Success,Brazil,Login,Android,Medium,0,0,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 00:14:38,104.244.24.45,asmith,Success,United States,File Access,Android,Medium,0,0,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 00:50:37,46.112.118.6,jdoe,Success,Germany,Login,Linux,Medium,0,0,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 01:04:59,198.50.7.90,clark,Success,Canada,Login,Android,Medium,0,1,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 01:22:25,103.21.179.253,db_admin,Failed,India,Login,iOS,Medium,1,1,1,0,0,Suspicious: Admin login activity at unusual hour (1:00),1
2026-05-19 01:26:49,104.244.61.25,db_admin,Success,United States,Login,Linux,Medium,0,1,1,0,0,Suspicious: Admin login activity at unusual hour (1:00),1
2026-05-19 01:38:21,115.112.56.229,asmith,Success,India,Login,Windows,Low,0,1,1,0,0,Normal event,0
2026-05-19 01:48:34,103.21.218.141,guest,Success,India,File Access,Windows,Medium,0,1,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 01:56:45,45.79.74.140,root,Success,United States,File Access,iOS,Medium,0,1,1,0,0,Suspicious: Admin login activity at unusual hour (1:00),1
2026-05-19 02:07:03,103.21.71.167,guest,Success,India,Login,iOS,Medium,0,2,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 02:20:53,10.0.0.87,bjones,Success,United States,File Access,iOS,Medium,0,2,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 02:27:51,112.98.53.37,user2,Success,China,Login,Android,Medium,0,2,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 02:51:35,104.244.213.217,jdoe,Success,United States,Login,Windows,Medium,0,2,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 02:53:07,80.128.108.27,db_admin,Success,Germany,File Access,MacOS,Medium,0,2,1,0,0,Suspicious: Admin login activity at unusual hour (2:00),0
2026-05-19 03:01:25,223.224.151.17,admin,Success,India,Port Scan,Windows,Medium,0,3,1,0,0,Suspicious: Admin login activity at unusual hour (3:00),1
2026-05-19 03:18:53,45.79.203.103,user1,Success,United States,Login,Windows,Medium,0,3,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 03:21:49,101.160.76.180,user2,Success,Australia,File Access,MacOS,Medium,0,3,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 03:37:37,10.0.0.188,user1,Success,United States,Login,Windows,Medium,0,3,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 03:52:31,204.101.19.169,clark,Success,Canada,Login,MacOS,Low,0,3,1,0,0,Normal event,0
2026-05-19 04:01:26,46.112.246.196,asmith,Success,Germany,File Access,Android,Medium,0,4,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 04:07:04,223.224.189.224,jdoe,Success,India,Login,Android,Medium,0,4,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 04:38:03,200.140.195.224,guest,Success,Brazil,File Access,iOS,Medium,0,4,1,0,0,Normal event | ML flagged anomaly,1
2026-05-19 04:48:15,104.244.210.62,asmith,Success,United States,Port Scan,Windows,Medium,0,4,1,0,0,Suspicious: Port scan activity detected,1
2026-05-19 05:04:46,95.108.179.9,root,Success,Russia,Login,Android,Low,0,5,0,0,0,Normal event,0
2026-05-19 05:27:47,192.168.1.241,guest,Success,United States,Login,Windows,Low,0,5,0,0,0,Normal event,0
2026-05-19 05:36:56,195.138.240.45,admin,Success,Ukraine,Login,iOS,Low,0,5,0,0,0,Normal event,0
2026-05-19 05:46:38,45.79.108.179,db_admin,Success,United States,Data Export,iOS,Medium,0,5,0,0,0,Data Export by 'db_admin',0
2026-05-19 05:51:13,104.244.240.8,jdoe,Success,United States,File Access,Linux,Low,0,5,0,0,0,Normal event,0
2026-05-19 05:56:05,103.21.220.54,clark,Success,India,Login,Windows,Low,0,5,0,0,0,Normal event,0
2026-05-19 05:57:28,46.112.238.194,jdoe,Success,Germany,Login,Linux,Low,0,5,0,0,0,Normal event,0
2026-05-19 06:31:11,10.0.0.113,user1,Success,United States,Login,Windows,Low,0,6,0,0,0,Normal event,0
2026-05-19 06:33:03,204.101.250.207,user1,Success,Canada,Port Scan,MacOS,Medium,0,6,0,0,0,Suspicious: Port scan activity detected,0
2026-05-19 06:36:36,223.224.15.127,bjones,Success,India,File Access,MacOS,Low,0,6,0,0,0,Normal event,0
2026-05-19 06:37:19,46.112.188.13,user1,Success,Germany,Data Export,Windows,Medium,0,6,0,0,0,Data Export by 'user1',0
2026-05-19 06:38:37,82.165.222.78,admin,Success,United Kingdom,File Access,iOS,Low,0,6,0,0,0,Normal event,0
2026-05-19 06:41:38,103.21.190.119,admin,Success,India,File Access,iOS,Low,0,6,0,0,0,Normal event,0
2026-05-19 06:50:16,115.112.10.110,jdoe,Success,India,Login,iOS,Low,0,6,0,0,0,Normal event,0
2026-05-19 07:01:40,195.138.114.23,user1,Success,Ukraine,File Access,Windows,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:02:57,103.21.32.59,clark,Success,India,Login,iOS,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:06:22,200.140.162.209,user1,Success,Brazil,Login,Linux,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:10:41,193.176.12.115,user1,Success,Germany,Login,Android,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:16:37,177.85.149.231,bjones,Success,Brazil,File Access,Linux,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:17:41,198.50.138.57,clark,Success,Canada,Login,Linux,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:17:54,10.0.0.233,clark,Success,United States,Login,iOS,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:21:18,82.142.126.136,root,Success,Russia,File Access,Windows,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:21:35,103.21.123.77,guest,Success,India,File Access,Android,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:26:24,80.128.78.161,user1,Success,Germany,File Access,Android,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:27:53,115.112.25.154,clark,Success,India,Login,iOS,Low,0,7,0,0,0,Normal event,0
2026-05-19 07:28:15,120.150.226.113,root,Success,Australia,Login,Linux,Low,0,7,0,0,0,Normal event,0
